query_id,arm,ndcg@10,recall@5,recall@10,recall@100,mrr@10
10246,rrf,0.000000,0.000000,0.000000,0.500000,0.000000
10246,rrf_rerank,0.000000,0.000000,0.000000,0.500000,0.000000
10267,bm25,0.000000,0.000000,0.000000,0.400000,0.000000
10267,dense,0.146068,0.200000,0.200000,0.200000,0.250000
10267,rrf,0.169580,0.200000,0.200000,0.200000,0.333333
10267,rrf_rerank,0.102097,0.000000,0.200000,0.200000,0.111111
104,bm25,0.000000,0.000000,0.000000,0.500000,0.000000
104,dense,0.613147,0.500000,0.500000,0.500000,1.000000
104,rrf,0.613147,0.500000,0.500000,0.500000,1.000000
104,rrf_rerank,0.613147,0.500000,0.500000,0.500000,1.000000
10414,bm25,0.613147,0.500000,0.500000,1.000000,1.000000
10414,dense,0.831555,0.500000,1.000000,1.000000,1.000000
10414,rrf,0.919721,1.000000,1.000000,1.000000,1.000000
10414,rrf_rerank,0.877215,1.000000,1.000000,1.000000,1.000000
10447,bm25,0.148041,0.000000,0.333333,0.333333,0.125000
10447,dense,0.234639,0.333333,0.333333,0.333333,0.333333
10447,rrf,0.234639,0.333333,0.333333,0.333333,0.333333
10447,rrf_rerank,0.000000,0.000000,0.000000,0.333333,0.000000
10462,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
10462,dense,0.000000,0.000000,0.000000,0.166667,0.000000
10462,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
10462,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
10482,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
10482,dense,0.000000,0.000000,0.000000,0.000000,0.000000
10482,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
10482,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
10497,bm25,0.399569,0.200000,0.300000,0.600000,1.000000
10497,dense,0.494357,0.300000,0.400000,0.900000,1.000000
10497,rrf,0.492006,0.200000,0.400000,0.900000,1.000000
10497,rrf_rerank,0.535254,0.300000,0.400000,0.900000,1.000000
10526,bm25,0.000000,0.000000,0.000000,0.500000,0.000000
10526,dense,0.264068,0.500000,0.500000,1.000000,0.250000
10526,rrf,0.218407,0.000000,0.500000,0.500000,0.166667
10526,rrf_rerank,0.000000,0.000000,0.000000,0.500000,0.000000
10547,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
10547,dense,0.000000,0.000000,0.000000,0.000000,0.000000
10547,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
10547,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
10558,bm25,0.000000,0.000000,0.000000,0.500000,0.000000
10558,dense,1.000000,1.000000,1.000000,1.000000,1.000000
10558,rrf,0.306574,0.500000,0.500000,1.000000,0.333333
10558,rrf_rerank,0.306574,0.500000,0.500000,1.000000,0.333333
10596,bm25,0.945635,0.600000,1.000000,1.000000,1.000000
10596,dense,0.812268,0.600000,0.800000,1.000000,1.000000
10596,rrf,0.956591,0.600000,1.000000,1.000000,1.000000
10596,rrf_rerank,0.989606,0.800000,1.000000,1.000000,1.000000
106,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
106,dense,0.630930,1.000000,1.000000,1.000000,0.500000
106,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
106,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
10601,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
10601,dense,1.000000,1.000000,1.000000,1.000000,1.000000
10601,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
10601,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
10628,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
10628,dense,0.333333,0.000000,1.000000,1.000000,0.142857
